FIPS,RegionName,year,median_home_value
06091,Sierra County,2019,229261.1225269471
06003,Alpine County,2019,383770.9265002096
06037,Los Angeles County,2020,664103.9050144218
06073,San Diego County,2020,635753.3187004031
06059,Orange County,2020,753483.3307515696
06065,Riverside County,2020,415195.1167355506
06071,San Bernardino County,2020,378939.7127587211
06085,Santa Clara County,2020,1207426.1340087235
06001,Alameda County,2020,885568.7623901521
06067,Sacramento County,2020,415982.2887967427
06013,Contra Costa County,2020,663783.2385571079
06019,Fresno County,2020,287370.641663529
06029,Kern County,2020,244827.19296349477
06075,San Francisco County,2020,1360402.1368562176
06111,Ventura County,2020,651680.7949950623
06077,San Joaquin County,2020,415160.1245205908
06081,San Mateo County,2020,1372452.8857134718
06099,Stanislaus County,2020,344282.1250642593
06097,Sonoma County,2020,674542.3088240682
06107,Tulare County,2020,248623.67447353931
06095,Solano County,2020,473462.4808608724
06083,Santa Barbara County,2020,634205.4344302717
06053,Monterey County,2020,625728.8586069475
06061,Placer County,2020,534581.4681394802
06079,San Luis Obispo County,2020,638595.9383434898
06047,Merced County,2020,304340.5399877015
06087,Santa Cruz County,2020,847123.9820972028
06041,Marin County,2020,1158051.9051266457
06007,Butte County,2020,349164.48128281813
06113,Yolo County,2020,495233.7951856235
06017,El Dorado County,2020,509075.5609822546
06089,Shasta County,2020,292891.2161866705
06025,Imperial County,2020,253153.0710157881
06039,Madera County,2020,291522.92925643077
06031,Kings County,2020,248460.31571986186
06055,Napa County,2020,735660.135538252
06023,Humboldt County,2020,416224.33114850585
06057,Nevada County,2020,493990.44900638727
06101,Sutter County,2020,332894.81607411045
06045,Mendocino County,2020,516300.6994577491
06115,Yuba County,2020,317800.1551232739
06033,Lake County,2020,274201.0870837627
06103,Tehama County,2020,255558.1054076881
06069,San Benito County,2020,635165.3951089641
06109,Tuolumne County,2020,318843.723650185
06009,Calaveras County,2020,342720.1660953625
06093,Siskiyou County,2020,224129.9428559188
06005,Amador County,2020,352374.56329503894
06035,Lassen County,2020,194611.2179080431
06021,Glenn County,2020,281623.2117388562
06015,Del Norte County,2020,289892.36773607816
06011,Colusa County,2020,285418.8918692314
06063,Plumas County,2020,288584.2540349836
06027,Inyo County,2020,385676.15788103687
06043,Mariposa County,2020,335693.33763050055
06105,Trinity County,2020,267634.5860778487
06051,Mono County,2020,511901.3189398734
06049,Modoc County,2020,134258.86323642175
06091,Sierra County,2020,243681.66070787454
06003,Alpine County,2020,396117.66840730543
06037,Los Angeles County,2021,757552.9305312386
06073,San Diego County,2021,747070.0464290367
06059,Orange County,2021,858388.3120309636
06065,Riverside County,2021,498912.6314360826
06071,San Bernardino County,2021,451322.74512687646
06085,Santa Clara County,2021,1373167.315875565
06001,Alameda County,2021,1031908.5768096712
06067,Sacramento County,2021,491343.5961501652
06013,Contra Costa County,2021,782100.4126853371
06019,Fresno County,2021,334751.5647166832
06029,Kern County,2021,285047.63421604346
06075,San Francisco County,2021,1403577.167060742
06111,Ventura County,2021,747540.6728819129
06077,San Joaquin County,2021,494912.63432638865
06081,San Mateo County,2021,1495454.0272049888
06099,Stanislaus County,2021,406849.9731645557
06097,Sonoma County,2021,742965.0645711125
06107,Tulare County,2021,290767.4289797821
06095,Solano County,2021,546047.4986850119
06083,Santa Barbara County,2021,746559.4780622305
06053,Monterey County,2021,730699.4997516765
06061,Placer County,2021,631941.2869931514
06079,San Luis Obispo County,2021,726059.9400022343
06047,Merced County,2021,359654.0841511024
06087,Santa Cruz County,2021,1010650.8562067194
06041,Marin County,2021,1348913.8404518839
06007,Butte County,2021,391196.6885698261
06113,Yolo County,2021,565591.4370104264
06017,El Dorado County,2021,610437.5529021561
06089,Shasta County,2021,340853.1792836729
06025,Imperial County,2021,280826.17341877636
06039,Madera County,2021,344348.5988503826
06031,Kings County,2021,288641.9686912753
06055,Napa County,2021,834244.8010113178
06023,Humboldt County,2021,451153.816814075
06057,Nevada County,2021,598212.1957941017
06101,Sutter County,2021,393241.6484217274
06045,Mendocino County,2021,582469.1207032778
06115,Yuba County,2021,376863.2438415044
06033,Lake County,2021,316600.6342935591
06103,Tehama County,2021,297250.6513236709
06069,San Benito County,2021,748269.6511098584
06109,Tuolumne County,2021,370313.441710491
06009,Calaveras County,2021,420541.0077503186
06093,Siskiyou County,2021,268043.06744057516
06005,Amador County,2021,408491.4265806049
06035,Lassen County,2021,224181.99750242685
06021,Glenn County,2021,320007.92970654316
06015,Del Norte County,2021,323778.34564553
06011,Colusa County,2021,327983.721738672
06063,Plumas County,2021,340887.73978581803
06027,Inyo County,2021,438563.9568397804
06043,Mariposa County,2021,398204.73842950835
06105,Trinity County,2021,307982.5146494557
06051,Mono County,2021,611385.3237156279
06049,Modoc County,2021,157376.03835781035
06091,Sierra County,2021,289154.69099843776
06003,Alpine County,2021,469662.65264835255
06037,Los Angeles County,2022,846369.0675194728
06073,San Diego County,2022,875379.4939771424
06059,Orange County,2022,1010240.2915100782
06065,Riverside County,2022,591211.1298940344
06071,San Bernardino County,2022,526060.6552214464
06085,Santa Clara County,2022,1570346.9023819685
06001,Alameda County,2022,1159465.8009252108
06067,Sacramento County,2022,555493.3932182369
06013,Contra Costa County,2022,863539.4990037851
06019,Fresno County,2022,385845.3847026722
06029,Kern County,2022,330572.2794698161
06075,San Francisco County,2022,1454592.9792239992
06111,Ventura County,2022,842218.614555195
06077,San Joaquin County,2022,560499.0420407547
06081,San Mateo County,2022,1640241.0440185806
06099,Stanislaus County,2022,458916.71899335453
06097,Sonoma County,2022,801012.1346509572
06107,Tulare County,2022,333245.67947875697
06095,Solano County,2022,606853.039047131
06083,Santa Barbara County,2022,894561.5188482977
