fips,county,premature_death_rate,poor_mental_health_days,preventable_hosp_rate,children_in_poverty_pct,low_birthweight_pct,year,median_home_value,median_household_income,income_source,median_multiple
06013,Contra Costa,4643.0717249,3.4033021657,3260.0,11.2,6.8851543224,2019,637618.6486921633,107135,1yr,5.951543834341376
06015,Del Norte,8953.6731104,4.0769955833,2514.0,33.9,5.702364395,2019,267769.6101989523,45283,5yr,5.91324802241354
06017,El Dorado,5358.6159827,3.738504263,2627.0,9.6,6.5309814564,2019,498525.7434551409,87059,1yr,5.7262976080030885
06019,Fresno,6944.910268,3.8931131154,4043.0,28.3,7.566661756,2019,273053.6046327558,57518,1yr,4.747272238825338
06021,Glenn,7566.3069009,4.0802796138,4963.0,20.8,6.1737523105,2019,259062.61020954468,49633,5yr,5.219563802501253
06023,Humboldt,9087.166241,4.279223942,2676.0,24.7,5.593518157,2019,403469.80040583597,51662,1yr,7.809798312218574
06025,Imperial,6040.0298511,4.1203659901,3749.0,28.1,5.4273324941,2019,235830.7655395718,48472,1yr,4.8652988434471816
06027,Inyo,7913.3408712,3.832014225,1710.0,17.6,7.6767676768,2019,366084.72113848774,57316,5yr,6.3871296171834695
06029,Kern,7822.443712,4.0812433519,4824.0,29.0,7.2314619131,2019,229770.91836628786,53067,1yr,4.329826791909998
06031,Kings,6016.6870133,3.8405875034,5327.0,24.5,6.3703882616,2019,234108.94284641233,58453,1yr,4.005080027482119
06033,Lake,11578.018825,4.3719859084,3782.0,30.1,6.5351894818,2019,264076.18215285527,47138,1yr,5.602193180721611
06035,Lassen,7294.8005195,3.7436918331,3968.0,18.0,7.7861163227,2019,183800.82653360884,56352,5yr,3.261655780338033
06037,Los Angeles,5007.6549713,3.6402303376,4285.0,20.9,7.0976820669,2019,629659.2755792065,72797,1yr,8.649522309699666
06039,Madera,6643.2037921,4.2278677648,3592.0,28.6,6.2629043359,2019,273986.727347657,64827,1yr,4.226429224669613
06041,Marin,3133.0033055,3.2956834694,2136.0,8.2,5.8874405387,2019,1119551.2337395581,110843,1yr,10.10033320768617
06043,Mariposa,8610.4287028,3.8478157263,2801.0,21.2,6.7647058824,2019,322106.82933513896,48820,5yr,6.597845746315833
06045,Mendocino,7756.2745672,4.1472259486,2453.0,22.8,6.4520547945,2019,496152.3052660351,51744,1yr,9.588595880991711
06047,Merced,7117.5007738,4.3295800847,5246.0,33.7,6.4353398323,2019,287825.9463367232,61167,1yr,4.705575659043655
06049,Modoc,10361.559861,4.0824047516,2747.0,29.7,6.6555740433,2019,132539.26815963312,45507,5yr,2.9125028711985657
06051,Mono,3935.1253957,3.6624087168,2276.0,12.6,7.7909270217,2019,480020.79482736666,62260,5yr,7.7099388825468465
06053,Monterey,5235.0215235,3.4901942953,2841.0,16.2,5.9904242289,2019,590585.7331811541,77514,1yr,7.6190847225166305
06055,Napa,4547.882526,3.568570562,2627.0,8.6,5.9226190476,2019,714638.3466311726,92769,1yr,7.703417592419586
