fips,county,premature_death_rate,poor_mental_health_days,preventable_hosp_rate,children_in_poverty_pct,low_birthweight_pct,year
6059.0,Orange,4158.2953849,3.3479358683,3125.0,15.7,6.2673207223,2019
6061.0,Placer,4694.1035749,3.4100916984,2524.0,7.2,5.7162667078,2019
6063.0,Plumas,8153.6813841,3.9158940134,3731.0,22.0,9.2459605027,2019
6065.0,Riverside,5777.981117,3.5608008416,3715.0,16.2,6.6238469809,2019
6067.0,Sacramento,6373.7545444,3.8495857001,3428.0,18.2,6.8672597371,2019
6069.0,San Benito,5253.2199296,3.5386356399,3985.0,11.9,6.3337866718,2019
6071.0,San Bernardino,6709.3598218,3.9313351668,4519.0,23.0,7.2480234151,2019
6073.0,San Diego,4611.3504296,3.6547747517,3183.0,15.7,6.4861398836,2019
6075.0,San Francisco,4384.419376,3.2302780125,3018.0,12.3,6.9827819633,2019
6077.0,San Joaquin,7218.5943993,4.0001332864,3915.0,21.6,7.2336986573,2019
6079.0,San Luis Obispo,5351.8147503,3.7104546616,2142.0,12.3,5.9236122527,2019
6081.0,San Mateo,3469.7978306,2.9481156081,2254.0,7.0,6.8037949454,2019
6083.0,Santa Barbara,5014.7669451,3.4611946276,1965.0,17.4,6.3971366638,2019
6085.0,Santa Clara,3641.4113944,2.9005243314,2910.0,8.1,6.9240881715,2019
6087.0,Santa Cruz,4699.1485239,3.8838007296,2690.0,13.7,5.6885644769,2019
6089.0,Shasta,9004.6017568,4.1248436634,3291.0,22.9,6.3518365093,2019
6091.0,Sierra,,3.8036950415,3416.0,20.2,8.6705202312,2019
6093.0,Siskiyou,9510.9383215,4.2493289001,2861.0,25.7,7.797452625,2019
6095.0,Solano,6099.5961161,3.5869186858,3630.0,14.0,6.72111246,2019
6097.0,Sonoma,4822.9556464,3.8092630584,2490.0,10.9,5.6605932325,2019
6099.0,Stanislaus,7247.9849565,3.932331114,4408.0,18.6,6.3718604259,2019
6101.0,Sutter,6973.2099905,3.7248318597,4294.0,18.2,6.4509051015,2019
6103.0,Tehama,8122.4555793,4.29424039,3104.0,29.0,6.0634155387,2019
6105.0,Trinity,11256.909302,4.3640508813,2596.0,32.1,4.8811013767,2019
6107.0,Tulare,7303.1420504,4.0179066805,4171.0,31.9,6.6121323182,2019
6109.0,Tuolumne,7653.113045,3.7035774811,2734.0,17.5,5.9538653367,2019
6111.0,Ventura,4764.7697641,3.4978018334,3274.0,13.2,6.1178322022,2019
6113.0,Yolo,5160.4666866,3.751757963,2441.0,14.1,5.8672708843,2019
6115.0,Yuba,9470.1542203,4.0164069821,4842.0,21.9,6.4516129032,2019
6001.0,Alameda,4408.5910489,3.1839105458,3298.0,9.8,7.2587957251,2020
6003.0,Alpine,,4.4183369542,2480.0,34.7,,2020
6005.0,Amador,6363.8656948,3.7410673537,3115.0,13.8,6.8126520681,2020
6007.0,Butte,7784.4961042,4.3533626566,4656.0,20.1,6.0342803475,2020
6009.0,Calaveras,7345.8857981,3.9241935989,3050.0,17.5,5.7408844065,2020
6011.0,Colusa,6556.2787052,4.0168093669,3534.0,14.1,6.3248682319,2020
6013.0,Contra Costa,4623.5095352,3.6280809208,3379.0,9.2,6.8385624112,2020
6015.0,Del Norte,8954.9014012,4.3955793889,2869.0,26.6,5.5133079848,2020
6017.0,El Dorado,5164.5473544,3.8309239082,3277.0,9.0,6.5867723914,2020
6019.0,Fresno,7006.6159427,3.9173260969,4172.0,30.2,7.5623649578,2020
6021.0,Glenn,7364.3106766,4.1044470774,5716.0,18.6,6.3083240015,2020
6023.0,Humboldt,8994.0565643,4.5655944713,2855.0,23.2,5.8070866142,2020
6025.0,Imperial,6213.3986322,4.0994936806,3679.0,30.2,5.5251250298,2020
6027.0,Inyo,8740.0101163,3.8840787694,2288.0,15.1,8.0388080388,2020
6029.0,Kern,7923.0215081,4.0890409968,4914.0,27.4,7.2506989748,2020
6031.0,Kings,6356.8669362,4.0915879666,4781.0,23.2,6.3611196555,2020
6033.0,Lake,11305.466803,4.4987096206,3379.0,26.3,6.5906455354,2020
6035.0,Lassen,7125.9207184,3.9335458748,4434.0,15.8,7.6061595894,2020
6037.0,Los Angeles,5017.5431691,3.6164943274,4346.0,19.9,7.1338268569,2020
6039.0,Madera,6650.6452874,4.295986281,3584.0,28.5,6.2958942596,2020
6041.0,Marin,3206.6318035,3.4480038058,2012.0,6.4,5.7885484681,2020
6043.0,Mariposa,8231.0448737,4.0962698899,3317.0,23.2,7.183908046,2020
6045.0,Mendocino,7749.67295,4.2479301328,2743.0,25.5,6.3770147162,2020
6047.0,Merced,6775.7437047,4.201624551,5413.0,28.5,6.2765700066,2020
6049.0,Modoc,10076.65162,4.3181042521,3131.0,27.2,6.9692058347,2020
6051.0,Mono,3369.6016286,3.7676376128,2685.0,11.6,8.1735620585,2020
6053.0,Monterey,5175.9192872,4.0516011737,3224.0,19.2,6.1062107848,2020
6055.0,Napa,4646.0857462,3.7810301889,2743.0,8.9,6.0858819895,2020
6057.0,Nevada,5835.2399112,3.8945528337,2300.0,13.7,5.7529908515,2020
6059.0,Orange,4199.1366307,3.2749558627,3107.0,13.3,6.2071432377,2020
6061.0,Placer,4522.6949673,3.5038457879,2264.0,7.2,5.6916873449,2020
6063.0,Plumas,8700.6760216,4.0742319898,3349.0,19.6,9.3357271095,2020
6065.0,Riverside,5796.962999,4.1359703838,3750.0,17.1,6.7514905239,2020
6067.0,Sacramento,6339.7496513,3.9607701234,3917.0,20.5,6.8889019481,2020
6069.0,San Benito,5148.1810351,3.7660100579,3669.0,11.9,6.3615205586,2020
6071.0,San Bernardino,6762.5514735,3.8702234471,4585.0,21.4,7.3486325825,2020
6073.0,San Diego,4641.05997,3.455539305,3121.0,14.9,6.5536896115,2020
6075.0,San Francisco,4269.7004184,3.3662375967,3213.0,10.9,6.9829415801,2020
6077.0,San Joaquin,7155.2242935,3.7004825948,3961.0,20.5,7.2566599092,2020
6079.0,San Luis Obispo,5271.2259578,3.9509801624,2270.0,10.8,5.8966834616,2020
6081.0,San Mateo,3367.8110377,3.0787713515,2135.0,7.0,6.7309708534,2020
6083.0,Santa Barbara,5042.4450983,3.7143804397,2161.0,14.7,6.4721363416,2020
6085.0,Santa Clara,3579.0807063,2.8790731347,2977.0,7.1,6.9365345245,2020
6087.0,Santa Cruz,4622.3917405,3.9120409632,2792.0,14.5,5.782364547,2020
6089.0,Shasta,9014.3139037,4.2996385264,3393.0,18.2,6.3136738513,2020
