year,NAME,GEO_ID,S1901_C01_012E,income_source
2024,"Monterey County, California",0500000US06053,93290,1yr
2024,"Merced County, California",0500000US06047,64980,1yr
2024,"Sacramento County, California",0500000US06067,94087,1yr
2024,"Mendocino County, California",0500000US06045,69264,1yr
2024,"Madera County, California",0500000US06039,72125,1yr
2024,"Los Angeles County, California",0500000US06037,90845,1yr
2024,"Lake County, California",0500000US06033,51434,1yr
2024,"Kings County, California",0500000US06031,73954,1yr
2024,"Kern County, California",0500000US06029,71596,1yr
2024,"Imperial County, California",0500000US06025,60749,1yr
2024,"Humboldt County, California",0500000US06023,58124,1yr
2024,"Marin County, California",0500000US06041,147017,1yr
2024,"San Benito County, California",0500000US06069,114011,1yr
2024,"San Bernardino County, California",0500000US06071,88294,1yr
2024,"San Diego County, California",0500000US06073,109132,1yr
2024,"Yuba County, California",0500000US06115,80550,1yr
2024,"Yolo County, California",0500000US06113,88849,1yr
2024,"Ventura County, California",0500000US06111,114238,1yr
2024,"Tulare County, California",0500000US06107,69880,1yr
2024,"Tehama County, California",0500000US06103,61309,1yr
2024,"Sutter County, California",0500000US06101,82364,1yr
2024,"Stanislaus County, California",0500000US06099,78673,1yr
2024,"Sonoma County, California",0500000US06097,107274,1yr
2024,"Solano County, California",0500000US06095,94930,1yr
2024,"Shasta County, California",0500000US06089,71140,1yr
2024,"Santa Cruz County, California",0500000US06087,107893,1yr
2024,"Santa Clara County, California",0500000US06085,168154,1yr
2024,"Santa Barbara County, California",0500000US06083,95637,1yr
2024,"San Mateo County, California",0500000US06081,160733,1yr
2024,"San Luis Obispo County, California",0500000US06079,100724,1yr
2024,"San Joaquin County, California",0500000US06077,93038,1yr
2024,"San Francisco County, California",0500000US06075,139801,1yr
2024,"Fresno County, California",0500000US06019,75585,1yr
2024,"El Dorado County, California",0500000US06017,109552,1yr
2024,"Contra Costa County, California",0500000US06013,127221,1yr
2024,"Butte County, California",0500000US06007,65221,1yr
2023,"Sacramento County, California",0500000US06067,90252,1yr
2023,"Riverside County, California",0500000US06065,90527,1yr
2023,"Placer County, California",0500000US06061,109713,1yr
2023,"Orange County, California",0500000US06059,110042,1yr
2023,"Nevada County, California",0500000US06057,87998,1yr
2023,"Napa County, California",0500000US06055,104686,1yr
2023,"Monterey County, California",0500000US06053,88035,1yr
2023,"Merced County, California",0500000US06047,57570,1yr
2023,"Mendocino County, California",0500000US06045,67454,1yr
2023,"Marin County, California",0500000US06041,139644,1yr
2023,"Madera County, California",0500000US06039,66553,1yr
2023,"Los Angeles County, California",0500000US06037,86587,1yr
2023,"Lake County, California",0500000US06033,59444,1yr
2023,"Kings County, California",0500000US06031,66429,1yr
2023,"Kern County, California",0500000US06029,68893,1yr
2023,"Imperial County, California",0500000US06025,60243,1yr
2023,"Humboldt County, California",0500000US06023,61621,1yr
2023,"San Benito County, California",0500000US06069,107324,1yr
2021,"Humboldt County, California",0500000US06023,54752,1yr
2023,"San Bernardino County, California",0500000US06071,85069,1yr
2023,"San Francisco County, California",0500000US06075,126730,1yr
2024,"Alameda County, California",0500000US06001,129130,1yr
2023,"Yuba County, California",0500000US06115,80396,1yr
2023,"Yolo County, California",0500000US06113,93203,1yr
2023,"Ventura County, California",0500000US06111,107667,1yr
2023,"Tulare County, California",0500000US06107,73097,1yr
2023,"Tehama County, California",0500000US06103,55128,1yr
2023,"Sutter County, California",0500000US06101,74727,1yr
2023,"Stanislaus County, California",0500000US06099,82758,1yr
2023,"Sonoma County, California",0500000US06097,100707,1yr
2023,"Solano County, California",0500000US06095,100027,1yr
2023,"Shasta County, California",0500000US06089,75949,1yr
2023,"Santa Cruz County, California",0500000US06087,105631,1yr
2023,"Santa Clara County, California",0500000US06085,154954,1yr
2023,"Santa Barbara County, California",0500000US06083,91197,1yr
2023,"San Mateo County, California",0500000US06081,151485,1yr
